Store Identifier,Store Name,Store Type,City,State,Region,City Tier,Postal Code,Store Opening Date,Store Status,Warehouse Identifier,Warehouse City,Fulfilment Type,Average Delivery SLA Days,Delivery Zone,Last Mile Partner,Store Area SqFt,Storage Capacity Units,Parking Capacity,Floor Count
STORE1000,NorthPeak Store #1,Flagship,Seattle,WA,West,Tier 2,98101,04-02-2018,Renovation,WH70,Seattle,Store Pickup,3,National,Ecom Express,445410,16423,422,3
STORE1001,NorthPeak Store #2,Large Format,New York City,NY,Northeast,Tier 1,10001,30-08-2021,Renovation,WH69,New York City,Store Pickup,2,Regional,Blue Dart,273795,10666,108,3
STORE1002,NorthPeak Store #3,Compact,Miami,FL,South,Tier 2,33101,25-03-2023,Active,WH71,Miami,Hybrid,5,National,Shadowfax,46551,19912,180,1
STORE1003,NorthPeak Store #4,Flagship,Dallas,TX,South,Tier 2,75201,23-01-2021,Active,WH13,Dallas,Store Pickup,5,Regional,Blue Dart,189073,13016,395,1
STORE1004,NorthPeak Store #5,Compact,Chicago,IL,Midwest,Tier 1,60601,18-01-2019,Renovation,WH17,Chicago,Hybrid,4,Regional,Delhivery,215551,3021,439,2
STORE1005,NorthPeak Store #6,Large Format,Miami,FL,South,Tier 2,33101,03-12-2016,Active,WH53,Miami,Central Warehouse,3,Regional,Shadowfax,440822,13534,264,1
STORE1006,NorthPeak Store #7,Flagship,San Francisco,CA,West,Tier 2,94105,04-12-2015,Active,WH62,San Francisco,Central Warehouse,2,Local,Delhivery,53044,18448,394,3
STORE1007,NorthPeak Store #8,Flagship,Houston,TX,South,Tier 2,77001,04-02-2019,Active,WH20,Houston,Hybrid,2,National,Ecom Express,144312,14666,310,2
STORE1008,NorthPeak Store #9,Large Format,San Francisco,CA,West,Tier 2,94105,27-06-2023,Active,WH82,San Francisco,Central Warehouse,2,National,Ecom Express,92373,16039,342,3
STORE1009,NorthPeak Store #10,Large Format,Phoenix,AZ,West,Tier 2,85001,20-04-2019,Active,WH56,Phoenix,Central Warehouse,4,Local,Delhivery,113806,8910,447,3
STORE1010,NorthPeak Store #11,Compact,Chicago,IL,Midwest,Tier 2,60601,25-02-2020,Active,WH86,Chicago,Hybrid,2,Local,Shadowfax,365083,16820,456,3
STORE1011,NorthPeak Store #12,Compact,Los Angeles,CA,West,Tier 3,90001,24-06-2016,Renovation,WH22,Los Angeles,Hybrid,4,National,Blue Dart,430515,12817,219,1
STORE1012,NorthPeak Store #13,Large Format,Seattle,WA,West,Tier 2,98101,22-07-2019,Active,WH98,Seattle,Hybrid,7,Local,Delhivery,143376,3306,495,1
STORE1013,NorthPeak Store #14,Flagship,Chicago,IL,Midwest,Tier 3,60601,23-05-2024,Active,WH81,Chicago,Hybrid,2,Regional,Delhivery,243576,15545,221,3
STORE1014,NorthPeak Store #15,Flagship,Houston,TX,South,Tier 2,77001,25-10-2021,Renovation,WH21,Houston,Central Warehouse,3,National,Delhivery,82172,19082,162,2
STORE1015,NorthPeak Store #16,Large Format,Boston,MA,Northeast,Tier 1,2108,26-10-2019,Active,WH10,Boston,Hybrid,7,Regional,Delhivery,328003,7791,247,3
STORE1016,NorthPeak Store #17,Compact,Miami,FL,South,Tier 1,33101,30-11-2023,Active,WH26,Miami,Hybrid,7,Local,Shadowfax,121081,2197,444,3
STORE1017,NorthPeak Store #18,Flagship,Houston,TX,South,Tier 3,77001,21-02-2018,Active,WH79,Houston,Store Pickup,4,National,Shadowfax,401393,3986,196,3
STORE1018,NorthPeak Store #19,Flagship,Houston,TX,South,Tier 2,77001,22-07-2019,Active,WH91,Houston,Store Pickup,4,Local,Delhivery,389705,16486,464,2
STORE1019,NorthPeak Store #20,Compact,Los Angeles,CA,West,Tier 2,90001,23-11-2019,Renovation,WH69,Los Angeles,Store Pickup,3,Local,Shadowfax,390037,9158,58,1
STORE1020,NorthPeak Store #21,Compact,Chicago,IL,Midwest,Tier 1,60601,05-03-2021,Active,WH29,Chicago,Central Warehouse,2,National,Delhivery,47711,7539,471,2
STORE1021,NorthPeak Store #22,Large Format,Phoenix,AZ,West,Tier 1,85001,09-01-2021,Active,WH27,Phoenix,Central Warehouse,3,Regional,Blue Dart,272186,19340,218,1
STORE1022,NorthPeak Store #23,Flagship,Phoenix,AZ,West,Tier 1,85001,08-03-2019,Renovation,WH17,Phoenix,Hybrid,4,Local,Shadowfax,321208,6555,492,3
STORE1023,NorthPeak Store #24,Large Format,San Francisco,CA,West,Tier 3,94105,27-03-2021,Active,WH60,San Francisco,Central Warehouse,4,National,Blue Dart,331189,9022,497,1
STORE1024,NorthPeak Store #25,Flagship,San Francisco,CA,West,Tier 1,94105,20-10-2016,Renovation,WH44,San Francisco,Store Pickup,2,Regional,Delhivery,97989,5444,55,3
STORE1025,NorthPeak Store #26,Flagship,Seattle,WA,West,Tier 2,98101,13-05-2024,Active,WH55,Seattle,Store Pickup,4,Local,Shadowfax,80726,12492,465,3
STORE1026,NorthPeak Store #27,Compact,San Francisco,CA,West,Tier 1,94105,27-08-2020,Active,WH63,San Francisco,Central Warehouse,4,Regional,Shadowfax,257289,9455,480,2
STORE1027,NorthPeak Store #28,Compact,Phoenix,AZ,West,Tier 1,85001,12-12-2021,Active,WH26,Phoenix,Store Pickup,2,National,Blue Dart,382654,7801,296,2
STORE1028,NorthPeak Store #29,Large Format,Boston,MA,Northeast,Tier 1,2108,21-09-2021,Active,WH69,Boston,Central Warehouse,2,Local,Shadowfax,279512,14039,449,2
STORE1029,NorthPeak Store #30,Compact,Phoenix,AZ,West,Tier 2,85001,12-03-2018,Renovation,WH75,Phoenix,Hybrid,7,National,Delhivery,67921,18958,239,1
STORE1030,NorthPeak Store #31,Large Format,Los Angeles,CA,West,Tier 3,90001,13-12-2017,Active,WH69,Los Angeles,Store Pickup,2,Local,Shadowfax,18051,17979,54,3
STORE1031,NorthPeak Store #32,Large Format,Los Angeles,CA,West,Tier 1,90001,18-09-2017,Renovation,WH56,Los Angeles,Hybrid,5,Local,Blue Dart,294163,15417,207,3
STORE1032,NorthPeak Store #33,Compact,Houston,TX,South,Tier 3,77001,17-12-2017,Active,WH71,Houston,Hybrid,2,Local,Delhivery,343761,18896,288,2
STORE1033,NorthPeak Store #34,Flagship,San Francisco,CA,West,Tier 3,94105,22-01-2024,Active,WH10,San Francisco,Store Pickup,6,Regional,Delhivery,205710,10130,125,2
STORE1034,NorthPeak Store #35,Compact,Miami,FL,South,Tier 3,33101,24-08-2023,Active,WH38,Miami,Central Warehouse,5,Local,Ecom Express,355976,15245,253,2
STORE1035,NorthPeak Store #36,Flagship,Phoenix,AZ,West,Tier 3,85001,24-06-2019,Active,WH32,Phoenix,Central Warehouse,3,Regional,Delhivery,374523,4849,229,3
STORE1036,NorthPeak Store #37,Large Format,Chicago,IL,Midwest,Tier 2,60601,25-10-2021,Renovation,WH10,Chicago,Store Pickup,6,National,Blue Dart,109704,18347,433,3
STORE1037,NorthPeak Store #38,Large Format,Dallas,TX,South,Tier 2,75201,24-08-2021,Active,WH42,Dallas,Store Pickup,4,National,Delhivery,380835,10002,114,1
STORE1038,NorthPeak Store #39,Large Format,Phoenix,AZ,West,Tier 2,85001,12-10-2015,Active,WH21,Phoenix,Hybrid,7,Regional,Delhivery,369802,4082,264,1
STORE1039,NorthPeak Store #40,Flagship,Dallas,TX,South,Tier 2,75201,06-04-2023,Active,WH43,Dallas,Hybrid,2,National,Shadowfax,97745,7745,124,1
STORE1040,NorthPeak Store #41,Flagship,Seattle,WA,West,Tier 1,98101,27-05-2023,Active,WH45,Seattle,Central Warehouse,6,Local,Shadowfax,324439,18048,148,2
STORE1041,NorthPeak Store #42,Compact,Seattle,WA,West,Tier 3,98101,06-12-2023,Renovation,WH46,Seattle,Store Pickup,6,National,Delhivery,345594,15584,418,2
STORE1042,NorthPeak Store #43,Flagship,Dallas,TX,South,Tier 3,75201,29-11-2016,Active,WH58,Dallas,Store Pickup,2,National,Shadowfax,215968,4502,333,2
STORE1043,NorthPeak Store #44,Flagship,Houston,TX,South,Tier 3,77001,06-09-2023,Renovation,WH34,Houston,Hybrid,6,Local,Ecom Express,212775,3062,158,1
STORE1044,NorthPeak Store #45,Large Format,Seattle,WA,West,Tier 2,98101,08-01-2024,Active,WH14,Seattle,Hybrid,6,National,Ecom Express,21801,6846,125,1
STORE1045,NorthPeak Store #46,Large Format,Dallas,TX,South,Tier 2,75201,08-02-2023,Active,WH16,Dallas,Central Warehouse,6,Regional,Delhivery,370249,19924,78,1
STORE1046,NorthPeak Store #47,Compact,New York City,NY,Northeast,Tier 2,10001,28-02-2019,Active,WH74,New York City,Central Warehouse,5,Local,Ecom Express,448478,6312,350,2
STORE1047,NorthPeak Store #48,Large Format,Boston,MA,Northeast,Tier 2,2108,01-04-2015,Active,WH28,Boston,Hybrid,7,National,Delhivery,19748,11435,175,2
STORE1048,NorthPeak Store #49,Flagship,Dallas,TX,South,Tier 2,75201,16-10-2018,Active,WH10,Dallas,Hybrid,6,Regional,Delhivery,245907,2823,466,2
STORE1049,NorthPeak Store #50,Large Format,Boston,MA,Northeast,Tier 2,2108,12-06-2022,Active,WH70,Boston,Hybrid,6,Regional,Delhivery,207714,13003,278,3
STORE1050,NorthPeak Store #51,Compact,San Francisco,CA,West,Tier 3,94105,30-03-2024,Active,WH24,San Francisco,Hybrid,2,Local,Blue Dart,383501,5330,193,3
STORE1051,NorthPeak Store #52,Large Format,Phoenix,AZ,West,Tier 2,85001,25-08-2017,Active,WH85,Phoenix,Store Pickup,3,Regional,Shadowfax,361809,9483,227,1
STORE1052,NorthPeak Store #53,Compact,Los Angeles,CA,West,Tier 2,90001,26-03-2023,Active,WH82,Los Angeles,Store Pickup,6,Local,Shadowfax,374151,19308,446,2
STORE1053,NorthPeak Store #54,Flagship,Dallas,TX,South,Tier 1,75201,06-06-2019,Active,WH78,Dallas,Hybrid,2,Regional,Blue Dart,335285,7124,168,1
STORE1054,NorthPeak Store #55,Large Format,Boston,MA,Northeast,Tier 1,2108,02-02-2021,Active,WH94,Boston,Central Warehouse,2,Regional,Ecom Express,349618,15772,466,2
STORE1055,NorthPeak Store #56,Compact,New York City,NY,Northeast,Tier 2,10001,20-01-2016,Active,WH64,New York City,Central Warehouse,5,Local,Delhivery,375286,11860,407,3
STORE1056,NorthPeak Store #57,Flagship,San Francisco,CA,West,Tier 1,94105,24-03-2015,Active,WH94,San Francisco,Central Warehouse,2,Regional,Delhivery,322250,19100,309,2
STORE1057,NorthPeak Store #58,Flagship,Los Angeles,CA,West,Tier 1,90001,29-12-2019,Active,WH81,Los Angeles,Hybrid,3,Regional,Blue Dart,76877,12357,308,3
STORE1058,NorthPeak Store #59,Flagship,Seattle,WA,West,Tier 3,98101,24-08-2015,Active,WH66,Seattle,Store Pickup,6,Local,Blue Dart,445657,17781,241,2
STORE1059,NorthPeak Store #60,Large Format,Chicago,IL,Midwest,Tier 2,60601,16-10-2022,Active,WH60,Chicago,Hybrid,3,Local,Blue Dart,374383,11550,79,3
STORE1060,NorthPeak Store #61,Compact,Boston,MA,Northeast,Tier 2,2108,20-12-2020,Active,WH13,Boston,Central Warehouse,2,Regional,Delhivery,297107,6164,83,2
STORE1061,NorthPeak Store #62,Flagship,New York City,NY,Northeast,Tier 1,10001,12-02-2015,Renovation,WH84,New York City,Hybrid,2,National,Ecom Express,226791,8238,423,1
STORE1062,NorthPeak Store #63,Compact,Boston,MA,Northeast,Tier 1,2108,03-04-2015,Renovation,WH59,Boston,Store Pickup,3,National,Ecom Express,72108,14891,219,1
STORE1063,NorthPeak Store #64,Flagship,Seattle,WA,West,Tier 2,98101,07-06-2016,Active,WH55,Seattle,Central Warehouse,2,Regional,Blue Dart,389572,18282,122,2
STORE1064,NorthPeak Store #65,Flagship,Los Angeles,CA,West,Tier 3,90001,05-04-2021,Renovation,WH72,Los Angeles,Store Pickup,2,Regional,Shadowfax,225176,16178,302,3
STORE1065,NorthPeak Store #66,Compact,Boston,MA,Northeast,Tier 3,2108,09-06-2016,Active,WH37,Boston,Hybrid,7,Regional,Delhivery,382257,6621,236,3
STORE1066,NorthPeak Store #67,Compact,San Francisco,CA,West,Tier 2,94105,10-11-2019,Renovation,WH27,San Francisco,Central Warehouse,7,National,Ecom Express,181926,15503,168,1
STORE1067,NorthPeak Store #68,Compact,New York City,NY,Northeast,Tier 2,10001,20-07-2018,Active,WH95,New York City,Central Warehouse,7,Local,Delhivery,149668,13475,74,2
STORE1068,NorthPeak Store #69,Flagship,Los Angeles,CA,West,Tier 1,90001,15-03-2018,Active,WH95,Los Angeles,Central Warehouse,2,National,Blue Dart,377920,17679,275,3
STORE1069,NorthPeak Store #70,Large Format,Phoenix,AZ,West,Tier 3,85001,10-06-2024,Active,WH62,Phoenix,Central Warehouse,6,Regional,Blue Dart,87303,13613,380,2
STORE1070,NorthPeak Store #71,Compact,Phoenix,AZ,West,Tier 2,85001,31-08-2015,Active,WH49,Phoenix,Store Pickup,5,National,Blue Dart,137177,10659,269,3
STORE1071,NorthPeak Store #72,Compact,Chicago,IL,Midwest,Tier 1,60601,28-04-2015,Active,WH60,Chicago,Central Warehouse,2,Regional,Ecom Express,25954,15703,75,3
STORE1072,NorthPeak Store #73,Flagship,Boston,MA,Northeast,Tier 3,2108,04-12-2018,Active,WH77,Boston,Hybrid,5,Local,Shadowfax,445192,8283,96,1
STORE1073,NorthPeak Store #74,Large Format,Miami,FL,South,Tier 3,33101,01-04-2020,Active,WH86,Miami,Hybrid,4,Local,Blue Dart,257353,2009,310,3
STORE1074,NorthPeak Store #75,Large Format,Chicago,IL,Midwest,Tier 2,60601,06-04-2018,Active,WH93,Chicago,Store Pickup,6,Local,Delhivery,262754,16231,87,3
STORE1075,NorthPeak Store #76,Large Format,Miami,FL,South,Tier 1,33101,24-05-2019,Active,WH69,Miami,Central Warehouse,7,Local,Shadowfax,378978,7256,467,3
STORE1076,NorthPeak Store #77,Flagship,Phoenix,AZ,West,Tier 1,85001,14-04-2024,Active,WH69,Phoenix,Store Pickup,4,Local,Delhivery,398245,17524,54,3
STORE1077,NorthPeak Store #78,Large Format,Miami,FL,South,Tier 3,33101,12-05-2015,Active,WH51,Miami,Store Pickup,3,National,Shadowfax,54711,13954,174,2
STORE1078,NorthPeak Store #79,Compact,Los Angeles,CA,West,Tier 1,90001,30-12-2020,Active,WH34,Los Angeles,Store Pickup,2,National,Ecom Express,426597,5687,153,3
STORE1079,NorthPeak Store #80,Compact,Houston,TX,South,Tier 2,77001,28-07-2019,Active,WH16,Houston,Hybrid,3,National,Ecom Express,348468,7408,280,3
STORE1080,NorthPeak Store #81,Flagship,Dallas,TX,South,Tier 1,75201,25-01-2018,Active,WH36,Dallas,Hybrid,2,Regional,Shadowfax,296173,6612,172,2
STORE1081,NorthPeak Store #82,Large Format,San Francisco,CA,West,Tier 1,94105,05-11-2023,Active,WH97,San Francisco,Hybrid,6,Local,Delhivery,29382,4891,222,2
STORE1082,NorthPeak Store #83,Large Format,Phoenix,AZ,West,Tier 1,85001,08-03-2024,Active,WH29,Phoenix,Hybrid,7,Regional,Shadowfax,91325,13397,249,3
STORE1083,NorthPeak Store #84,Large Format,Miami,FL,South,Tier 3,33101,29-12-2015,Renovation,WH22,Miami,Central Warehouse,3,Local,Delhivery,203014,2827,220,1
STORE1084,NorthPeak Store #85,Compact,Phoenix,AZ,West,Tier 1,85001,26-08-2016,Active,WH18,Phoenix,Central Warehouse,4,Local,Blue Dart,190399,5368,263,3
STORE1085,NorthPeak Store #86,Large Format,Chicago,IL,Midwest,Tier 1,60601,08-07-2024,Active,WH45,Chicago,Central Warehouse,2,Local,Ecom Express,199245,6662,420,3
STORE1086,NorthPeak Store #87,Flagship,Seattle,WA,West,Tier 3,98101,14-10-2023,Active,WH61,Seattle,Store Pickup,6,Regional,Delhivery,55738,18920,139,3
STORE1087,NorthPeak Store #88,Large Format,San Francisco,CA,West,Tier 2,94105,26-12-2023,Active,WH43,San Francisco,Hybrid,2,National,Ecom Express,216579,15490,231,1
STORE1088,NorthPeak Store #89,Large Format,Phoenix,AZ,West,Tier 2,85001,30-03-2018,Active,WH38,Phoenix,Hybrid,4,Regional,Blue Dart,156467,18241,98,3
STORE1089,NorthPeak Store #90,Flagship,Chicago,IL,Midwest,Tier 3,60601,08-12-2015,Renovation,WH72,Chicago,Store Pickup,2,National,Delhivery,16759,11181,264,3
STORE1090,NorthPeak Store #91,Flagship,Dallas,TX,South,Tier 3,75201,13-10-2015,Renovation,WH49,Dallas,Hybrid,3,Local,Blue Dart,315402,17534,243,2
STORE1091,NorthPeak Store #92,Large Format,Dallas,TX,South,Tier 3,75201,04-08-2017,Active,WH13,Dallas,Store Pickup,6,National,Ecom Express,325914,15087,315,2
STORE1092,NorthPeak Store #93,Large Format,Chicago,IL,Midwest,Tier 3,60601,04-11-2020,Active,WH41,Chicago,Central Warehouse,6,Local,Delhivery,222606,16295,492,3
STORE1093,NorthPeak Store #94,Large Format,Seattle,WA,West,Tier 2,98101,24-01-2024,Active,WH76,Seattle,Hybrid,2,National,Shadowfax,342073,9970,145,2
STORE1094,NorthPeak Store #95,Compact,Houston,TX,South,Tier 3,77001,27-03-2016,Renovation,WH46,Houston,Central Warehouse,6,Regional,Ecom Express,81358,19327,56,2
STORE1095,NorthPeak Store #96,Flagship,New York City,NY,Northeast,Tier 2,10001,23-08-2023,Active,WH28,New York City,Store Pickup,5,Regional,Blue Dart,275910,6841,435,3
STORE1096,NorthPeak Store #97,Flagship,New York City,NY,Northeast,Tier 2,10001,24-10-2019,Active,WH62,New York City,Hybrid,5,Regional,Blue Dart,425987,14880,251,2
STORE1097,NorthPeak Store #98,Compact,Miami,FL,South,Tier 3,33101,05-01-2017,Active,WH90,Miami,Central Warehouse,2,Regional,Delhivery,376752,19685,284,2
STORE1098,NorthPeak Store #99,Large Format,Phoenix,AZ,West,Tier 1,85001,07-09-2020,Active,WH96,Phoenix,Store Pickup,4,Regional,Blue Dart,338412,7475,90,2
STORE1099,NorthPeak Store #100,Flagship,Miami,FL,South,Tier 1,33101,04-05-2023,Active,WH85,Miami,Hybrid,6,Regional,Blue Dart,207468,9992,336,2
